Final data format,PG,SG,SF,PF,C,Success,Fail,inbound,Rebound,steal
PG,0,18,6,15,5,0,0,52,3,8
SG,31,0,1,9,4,0,0,7,6,3
SF,15,2,0,6,2,0,0,3,2,2
PF,35,11,9,0,3,0,0,6,13,6
C,6,5,1,2,0,0,0,0,11,1
Success,7,3,5,16,4,0,0,0,0,0
Fail,14,17,12,26,7,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steal,0,0,0,0,0,0,0,0,0,0
