Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,5,14,19,14,0,0,45,8,1
SG,26,0,2,12,2,0,0,3,2,3
SF,22,3,0,3,12,0,0,2,10,1
PF,19,10,10,0,1,0,0,0,3,0
C,8,12,7,3,0,0,0,0,8,0
Success,6,3,5,8,5,0,0,0,0,0
Fail,7,11,10,5,6,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
