Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,20,18,18,6,0,0,37,11,1
SG,15,0,4,2,1,0,0,2,2,1
SF,7,5,0,11,3,0,0,4,3,1
PF,3,4,14,1,2,0,0,4,0,5
C,5,1,2,5,0,0,0,2,0,0
Success,11,7,12,8,2,0,0,0,0,0
Fail,5,9,9,8,0,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steal,0,0,0,0,0,0,0,0,0,0
