Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,12,6,19,9,0,0,27,5,2
SG,19,0,3,6,5,0,0,7,2,0
SF,14,3,0,8,4,0,0,6,4,1
PF,18,10,9,0,2,0,0,3,6,1
C,7,3,5,2,0,0,0,5,1,0
Success,5,7,6,6,0,0,0,0,0,0
Fail,10,7,8,8,1,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
