Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,16,7,9,11,0,0,17,1,1
SG,15,0,17,8,16,0,0,17,5,1
SF,17,17,0,6,12,0,0,0,5,5
PF,10,13,4,0,4,0,0,2,18,0
C,10,12,8,4,0,0,0,14,13,0
Success,4,6,7,6,4,0,0,0,0,0
Fail,2,18,11,10,9,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
