Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,6,6,10,11,0,0,39,11,0
SG,18,0,3,9,4,0,0,3,0,1
SF,13,4,0,4,5,0,0,1,4,2
PF,17,8,4,0,1,0,0,7,12,2
C,9,5,3,1,0,0,0,4,4,0
Success,6,4,7,9,3,0,0,0,0,0
Fail,10,8,9,10,1,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
