Final data format,PG,SG,SF,PF,C,Success,Fail,inbound,Rebound,steal
PG,0,10,8,15,0,0,0,12,5,2
SG,13,0,14,13,8,0,0,22,9,1
SF,8,13,0,6,2,0,0,2,4,2
PF,10,24,5,5,1,0,0,9,18,1
C,4,6,1,3,0,0,0,2,6,0
Success,5,13,5,10,4,0,0,0,0,0
Fail,7,15,5,10,2,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
