Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,20,9,8,7,0,0,20,7,1
SG,13,0,15,20,9,0,0,25,7,4
SF,16,11,0,1,3,0,0,5,6,0
PF,13,24,4,0,0,0,0,8,13,2
C,8,8,1,5,0,0,0,1,6,0
Success,5,8,2,8,6,0,0,0,0,0
Fail,10,14,9,5,4,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
