Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,19,9,11,1,0,0,18,7,2
SG,10,0,17,12,5,0,0,20,6,2
SF,2,8,0,8,3,0,0,0,1,1
PF,5,21,8,4,1,0,0,8,2,4
C,0,2,2,1,0,0,0,0,0,0
Success,2,15,2,9,3,0,0,0,0,0
Fail,11,17,7,9,3,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steal,0,0,0,0,0,0,0,0,0,0
