Final data format,PG,SG,SF,PF,C,Success,Fail,Inbound,Rebound,Steal
PG,0,10,7,6,5,0,0,15,2,2
SG,10,0,12,9,5,0,0,14,11,4
SF,13,9,0,6,7,0,0,0,6,0
PF,8,11,6,0,4,0,0,1,13,1
C,9,2,4,1,0,0,0,4,4,1
Success,1,9,6,6,1,0,0,0,0,0
Fail,0,10,5,8,3,0,0,0,0,0
Inbound,0,0,0,0,0,0,0,0,0,0
Rebound,0,0,0,0,0,0,0,0,0,0
Steak,0,0,0,0,0,0,0,0,0,0
